Unique ID,Site,Treatment,Nit,Pho,Trace,Dry_mass,AFDM,Chla
Ford 37,Ford,Control,NoN,NoP,NoT,10,3,0.00089
Ford 38,Ford,Control,NoN,NoP,NoT,5,2,-0.00178
Ford 39 ,Ford,Control,NoN,NoP,NoT,10,2,0.00178
Ford 40 ,Ford,Control,NoN,NoP,NoT,0,2,0
Ford 41,Ford,NH4,NH4,NoP,NoT,20,4,0
Ford 42,Ford,NH4,NH4,NoP,NoT,5,3,0.00178
Ford 43,Ford,NH4,NH4,NoP,NoT,10,3,0.00178
Ford 44,Ford,NH4,NH4,NoP,NoT,15,0,0.00356
Ford 45,Ford,PO4,NoN,PO4,NoT,15,3,0.00534
Ford 46,Ford,PO4,NoN,PO4,NoT,15,3,
Ford 47,Ford,PO4,NoN,PO4,NoT,25,3,0.0089
Ford 48,Ford,PO4,NoN,PO4,NoT,15,4,0.0089
Ford 49,Ford,Trace,NoN,NoP,Trace,0,3,0.00178
Ford 50,Ford,Trace,NoN,NoP,Trace,20,3,0.0089
Ford 51,Ford,Trace,NoN,NoP,Trace,0,3,0
Ford 52,Ford,Trace,NoN,NoP,Trace,5,2,-0.00178
Ford 53,Ford,N+trace,NH4,NoP,Trace,5,2,0.00178
Ford 54,Ford,N+trace,NH4,NoP,Trace,5,3,0.00178
Ford 55,Ford,N+trace,NH4,NoP,Trace,5,5,0
Ford 56,Ford,N+trace,NH4,NoP,Trace,10,3,0
Ford 57 ,Ford,P+trace,NoN,PO4,Trace,20,3,0.01246
Ford 58,Ford,P+trace,NoN,PO4,Trace,35,4,0.01068
Ford 59,Ford,P+trace,NoN,PO4,Trace,5,6,0.01246
Ford 60 ,Ford,P+trace,NoN,PO4,Trace,25,4,0.0089
Ford 61,Ford,N+P,NH4,PO4,NoT,20,4,0.01602
Ford 62,Ford,N+P,NH4,PO4,NoT,20,3,0.01246
Ford 63,Ford,N+P,NH4,PO4,NoT,20,3,0.01424
Ford 64,Ford,N+P,NH4,PO4,NoT,20,3,0.01424
Ford 65,Ford,N+P+trace,NH4,PO4,Trace,20,3,0.01424
Ford 66,Ford,N+P+trace,NH4,PO4,Trace,30,5,0.0267
Ford 67,Ford,N+P+trace,NH4,PO4,Trace,20,3,0.00356
Ford 68,Ford,N+P+trace,NH4,PO4,Trace,10,5,0.0178
Ford 69,Ford,Chelex,,,,20,5,0.00356
Ford 70,Ford,Chelex,,,,45,6,-0.00356
Ford 71,Ford,Chelex,,,,5,4,0
Ford 72,Ford,Chelex,,,,65,7,0.00712
Ford initial A,Ford,Initial,,,,0,3,0.001186667
GB 1A,GB,Control,NoN,NoP,NoT,750,33,0.059185
GB 2A,GB,Control,NoN,NoP,NoT,1122,44,0.0445
GB 3A,GB,Control,NoN,NoP,NoT,800,35,0.01068
GB 4A,GB,Control,NoN,NoP,NoT,858,39,0.0534
GB 5A,GB,NH4,NH4,NoP,NoT,1308,50,0.086775
GB 6A,GB,NH4,NH4,NoP,NoT,1242,43,0.0623
GB 7A,GB,NH4,NH4,NoP,NoT,1225,50,0.089
GB 8A,GB,NH4,NH4,NoP,NoT,1356,54,0.089
GB 9A,GB,PO4,NoN,PO4,NoT,756,38,0.04005
GB 10A,GB,PO4,NoN,PO4,NoT,722,40,0.05785
GB 11A,GB,PO4,NoN,PO4,NoT,744,39,0.0267
GB 12A,GB,PO4,NoN,PO4,NoT,756,38,0.0534
GB 13A,GB,Trace,NoN,NoP,Trace,933,38,0.06675
GB 14A,GB,Trace,NoN,NoP,Trace,933,37,0.03115
GB 15A ,GB,Trace,NoN,NoP,Trace,956,38,0.0534
GB 16A,GB,Trace,NoN,NoP,Trace,967,40,0.0534
GB 17A,GB,N+trace,NH4,NoP,Trace,1260,60,0.0801
GB 18A,GB,N+trace,NH4,NoP,Trace,1242,49,0.0712
GB 19A ,GB,N+trace,NH4,NoP,Trace,1133,60,0.07832
GB 20A,GB,N+trace,NH4,NoP,Trace,833,55,0.09345
GB 21A,GB,P+trace,NoN,PO4,Trace,711,37,0.0445
GB 22A,GB,P+trace,NoN,PO4,Trace,744,33,0.0445
GB 23A,GB,P+trace,NoN,PO4,Trace,756,40,0.04005
GB 24A,GB,P+trace,NoN,PO4,Trace,733,41,0.046725
GB 25A,GB,N+P,NH4,PO4,NoT,858,48,0.089
GB 26A,GB,N+P,NH4,PO4,NoT,933,50,0.073425
GB 27A,GB,N+P,NH4,PO4,NoT,889,43,0.07565
GB 28A,GB,N+P,NH4,PO4,NoT,878,51,0.086775
GB 29A,GB,N+P+trace,NH4,PO4,Trace,800,46,0.07565
GB 30A,GB,N+P+trace,NH4,PO4,Trace,744,47,0.07565
GB 31A,GB,N+P+trace,NH4,PO4,Trace,833,47,0.0534
GB 32A,GB,N+P+trace,NH4,PO4,Trace,833,47,0.0712
GB 33A,GB,Chelex,,,,922,46,0.0089
GB 34C,GB,Chelex,,,,911,39,0.0267
GB 35A,GB,Chelex,,,,967,42,0.04005
GB 36A,GB,Chelex,,,,933,41,0.0445
GB initial A,GB,Initial,,,,622,24,0.0712
Maumee 37,Maumee,Control,NoN,NoP,NoT,,21,0.126825
Maumee 38,Maumee,Control,NoN,NoP,NoT,,21,0.1301625
Maumee 39,Maumee,Control,NoN,NoP,NoT,,27,0.1234875
Maumee 40,Maumee,Control,NoN,NoP,NoT,,19,0.180225
Maumee 41,Maumee,NH4,NH4,NoP,NoT,,26,0.1602
Maumee 42,Maumee,NH4,NH4,NoP,NoT,,26,0.113475
Maumee 43,Maumee,NH4,NH4,NoP,NoT,,23,0.166875
Maumee 44,Maumee,NH4,NH4,NoP,NoT,,25,0.15519375
Maumee 45,Maumee,PO4,NoN,PO4,NoT,,27,0.1702125
Maumee 46,Maumee,PO4,NoN,PO4,NoT,,19,0.1568625
Maumee 47,Maumee,PO4,NoN,PO4,NoT,,31,0.1435125
Maumee 48,Maumee,PO4,NoN,PO4,NoT,,18,0.14518125
Maumee 49,Maumee,Trace,NoN,NoP,Trace,,21,0.1435125
Maumee 50,Maumee,Trace,NoN,NoP,Trace,,27,0.140175
Maumee 51,Maumee,Trace,NoN,NoP,Trace,,27,0.113475
Maumee 52,Maumee,Trace,NoN,NoP,Trace,,31,0.13516875
Maumee 53,Maumee,N+trace,NH4,NoP,Trace,,27,0.180225
Maumee 54,Maumee,N+trace,NH4,NoP,Trace,,26,0.1702125
Maumee 55,Maumee,N+trace,NH4,NoP,Trace,,32,0.1635375
Maumee 56,Maumee,N+trace,NH4,NoP,Trace,,31,0.16520625
