Cup,SITE,TRT,MC,N,P,Trace
6,FOX 1,Control,0.091,noN,noP,noT
7,FOX 1,Control,0.116,noN,noP,noT
14,FOX 1,NH4,0.177,NH4,noP,noT
15,FOX 1,NH4,0.055,NH4,noP,noT
22,FOX 1,PO4,0.246,noN,PO4,noT
23,FOX 1,PO4,0.024,noN,PO4,noT
30,FOX 1,Zn,0.027,noN,noP,Zn
31,FOX 1,Zn,0.073,noN,noP,Zn
38,FOX 1,Fe,0.04,noN,noP,Fe
39,FOX 1,Fe,0.057,noN,noP,Fe
46,FOX 1,Ni&Mo,0.049,noN,noP,NiMo
47,FOX 1,Ni&Mo,0.024,noN,noP,NiMo
54,FOX 1,N&P,0.165,NH4,PO4,noT
55,FOX 1,N&P,0.066,NH4,PO4,noT
62,FOX 1,N&Zn,0.081,NH4,noP,Zn
63,FOX 1,N&Zn,0.081,NH4,noP,Zn
70,FOX 1,N&Fe,0.175,NH4,noP,Fe
71,FOX 1,N&Fe,0.081,NH4,noP,Fe
78,FOX 1,P&Ni&Mo,0.131,noN,PO4,NiMo
79,FOX 1,P&Ni&Mo,0.095,noN,PO4,NiMo
86,GREEN BAY 1,Control,0.019,noN,noP,noT
87,GREEN BAY 1,Control,0.052,noN,noP,noT
94,GREEN BAY 1,NH4,0.011,NH4,noP,noT
95,GREEN BAY 1,NH4,0.015,NH4,noP,noT
102,GREEN BAY 1,PO4,0.024,noN,PO4,noT
103,GREEN BAY 1,PO4,0.016,noN,PO4,noT
110,GREEN BAY 1,Zn,0.019,noN,noP,Zn
111,GREEN BAY 1,Zn,0.017,noN,noP,Zn
118,GREEN BAY 1,Fe,0.006,noN,noP,Fe
119,GREEN BAY 1,Fe,0.034,noN,noP,Fe
126,GREEN BAY 1,Ni&Mo,0.028,noN,noP,NiMo
127,GREEN BAY 1,Ni&Mo,0.126,noN,noP,NiMo
134,GREEN BAY 1,N&P,0.046,NH4,PO4,noT
135,GREEN BAY 1,N&P,0.036,NH4,PO4,noT
142,GREEN BAY 1,N&Zn,0.007,NH4,noP,Zn
143,GREEN BAY 1,N&Zn,0.118,NH4,noP,Zn
150,GREEN BAY 1,N&Fe,0.021,NH4,noP,Fe
151,GREEN BAY 1,N&Fe,0.088,NH4,noP,Fe
158,GREEN BAY 1,P&Ni&Mo,0.032,noN,PO4,NiMo
159,GREEN BAY 1,P&Ni&Mo,0.089,noN,PO4,NiMo
166,FORD 1,Control,0.001,noN,noP,noT
167,FORD 1,Control,0.001,noN,noP,noT
174,FORD 1,NH4,0.001,NH4,noP,noT
175,FORD 1,NH4,0.001,NH4,noP,noT
182,FORD 1,PO4,0.001,noN,PO4,noT
183,FORD 1,PO4,0.001,noN,PO4,noT
190,FORD 1,Zn,0.001,noN,noP,Zn
191,FORD 1,Zn,0.001,noN,noP,Zn
198,FORD 1,Fe,0.001,noN,noP,Fe
199,FORD 1,Fe,0.001,noN,noP,Fe
206,FORD 1,Ni&Mo,0.001,noN,noP,NiMo
207,FORD 1,Ni&Mo,0.001,noN,noP,NiMo
214,FORD 1,N&P,0.001,NH4,PO4,noT
215,FORD 1,N&P,0.001,NH4,PO4,noT
222,FORD 1,N&Zn,0.001,NH4,noP,Zn
223,FORD 1,N&Zn,0.001,NH4,noP,Zn
230,FORD 1,N&Fe,0.001,NH4,noP,Fe
231,FORD 1,N&Fe,0.001,NH4,noP,Fe
238,FORD 1,P&Ni&Mo,0.002,noN,PO4,NiMo
239,FORD 1,P&Ni&Mo,0.001,noN,PO4,NiMo
246,FORD 2,Control,0.001,noN,noP,noT
247,FORD 2,Control,0.001,noN,noP,noT
254,FORD 2,NH4,0.001,NH4,noP,noT
255,FORD 2,NH4,0.002,NH4,noP,noT
262,FORD 2,PO4,0.001,noN,PO4,noT
263,FORD 2,PO4,0.002,noN,PO4,noT
270,FORD 2,Zn,0.001,noN,noP,Zn
271,FORD 2,Zn,0.001,noN,noP,Zn
278,FORD 2,Fe,0.001,noN,noP,Fe
279,FORD 2,Fe,0.001,noN,noP,Fe
286,FORD 2,Ni&Mo,0.001,noN,noP,NiMo
287,FORD 2,Ni&Mo,0.001,noN,noP,NiMo
294,FORD 2,N&P,0.001,NH4,PO4,noT
295,FORD 2,N&P,0.001,NH4,PO4,noT
302,FORD 2,N&Zn,0.001,NH4,noP,Zn
303,FORD 2,N&Zn,0.001,NH4,noP,Zn
310,FORD 2,N&Fe,0.001,NH4,noP,Fe
311,FORD 2,N&Fe,0.001,NH4,noP,Fe
318,FORD 2,P&Ni&Mo,0.003,noN,PO4,NiMo
319,FORD 2,P&Ni&Mo,0.001,noN,PO4,NiMo
326,MAUMEE 1,Control,0.082,noN,noP,noT
327,MAUMEE 1,Control,,noN,noP,noT
334,MAUMEE 1,NH4,,NH4,noP,noT
335,MAUMEE 1,NH4,,NH4,noP,noT
342,MAUMEE 1,PO4,0.027,noN,PO4,noT
343,MAUMEE 1,PO4,,noN,PO4,noT
350,MAUMEE 1,Zn,,noN,noP,Zn
351,MAUMEE 1,Zn,0.107,noN,noP,Zn
358,MAUMEE 1,Fe,,noN,noP,Fe
359,MAUMEE 1,Fe,0.072,noN,noP,Fe
366,MAUMEE 1,Ni&Mo,0.015,noN,noP,NiMo
367,MAUMEE 1,Ni&Mo,,noN,noP,NiMo
374,MAUMEE 1,N&P,,NH4,PO4,noT
375,MAUMEE 1,N&P,0.049,NH4,PO4,noT
382,MAUMEE 1,N&Zn,0.087,NH4,noP,Zn
383,MAUMEE 1,N&Zn,,NH4,noP,Zn
390,MAUMEE 1,N&Fe,0.035,NH4,noP,Fe
391,MAUMEE 1,N&Fe,,NH4,noP,Fe
398,MAUMEE 1,P&Ni&Mo,,noN,PO4,NiMo
399,MAUMEE 1,P&Ni&Mo,0.078,noN,PO4,NiMo
406,MAUMEE 2,Control,0.003,noN,noP,noT
407,MAUMEE 2,Control,0.006,noN,noP,noT
414,MAUMEE 2,NH4,0.024,NH4,noP,noT
415,MAUMEE 2,NH4,0.022,NH4,noP,noT
422,MAUMEE 2,PO4,0.006,noN,PO4,noT
423,MAUMEE 2,PO4,0.081,noN,PO4,noT
430,MAUMEE 2,Zn,0.048,noN,noP,Zn
431,MAUMEE 2,Zn,0.068,noN,noP,Zn
438,MAUMEE 2,Fe,0.007,noN,noP,Fe
439,MAUMEE 2,Fe,0.045,noN,noP,Fe
