SITE,TRT,N,P,Trace,Cup,CHLA,AFDM
FOX 1,Control,noN,noP,noT,1,39.07317073,0.71
FOX 1,Control,noN,noP,noT,2,52.09756098,0.68
FOX 1,Control,noN,noP,noT,3,32.56097561,0.82
FOX 1,Control,noN,noP,noT,4,60.7804878,0.89
FOX 1,Control,noN,noP,noT,5,28.2195122,0.63
FOX 1,NH4,NH4,noP,noT,9,47.75609756,0.97
FOX 1,NH4,NH4,noP,noT,10,32.56097561,0.84
FOX 1,NH4,NH4,noP,noT,11,56.43902439,1.37
FOX 1,NH4,NH4,noP,noT,12,22.79268293,0.61
FOX 1,NH4,NH4,noP,noT,13,27.13414634,0.63
FOX 1,PO4,noN,PO4,noT,17,90.08536585,1.05
FOX 1,PO4,noN,PO4,noT,18,120.4756098,1.16
FOX 1,PO4,noN,PO4,noT,19,55.35365854,0.82
FOX 1,PO4,noN,PO4,noT,20,120.4756098,1.11
FOX 1,PO4,noN,PO4,noT,21,69.46341463,0.76
FOX 1,Zn,noN,noP,Zn,25,52.09756098,0.58
FOX 1,Zn,noN,noP,Zn,26,28.2195122,0.29
FOX 1,Zn,noN,noP,Zn,27,52.09756098,1.32
FOX 1,Zn,noN,noP,Zn,28,45.58536585,0.74
FOX 1,Zn,noN,noP,Zn,29,55.35365854,0.74
FOX 1,Fe,noN,noP,Fe,33,36.90243902,0.95
FOX 1,Fe,noN,noP,Fe,34,43.41463415,1.16
FOX 1,Fe,noN,noP,Fe,35,77.06097561,0.92
FOX 1,Fe,noN,noP,Fe,36,44.5,0.55
FOX 1,Fe,noN,noP,Fe,37,72.7195122,1.58
FOX 1,Ni&Mo,noN,noP,NiMo,41,27.13414634,1.24
FOX 1,Ni&Mo,noN,noP,NiMo,42,61.86585366,0.68
FOX 1,Ni&Mo,noN,noP,NiMo,43,56.43902439,0.89
FOX 1,Ni&Mo,noN,noP,NiMo,44,58.6097561,1.05
FOX 1,Ni&Mo,noN,noP,NiMo,45,77.06097561,1.05
FOX 1,N&P,NH4,PO4,noT,49,112.8780488,1.61
FOX 1,N&P,NH4,PO4,noT,50,157.3780488,1.11
FOX 1,N&P,NH4,PO4,noT,51,81.40243902,0.74
FOX 1,N&P,NH4,PO4,noT,52,135.6707317,1.29
FOX 1,N&P,NH4,PO4,noT,53,117.2195122,0.95
FOX 1,N&Zn,NH4,noP,Zn,57,33.64634146,0.71
FOX 1,N&Zn,NH4,noP,Zn,58,55.35365854,1.05
FOX 1,N&Zn,NH4,noP,Zn,59,23.87804878,0.55
FOX 1,N&Zn,NH4,noP,Zn,60,23.87804878,0.66
FOX 1,N&Zn,NH4,noP,Zn,61,31.47560976,0.74
FOX 1,N&Fe,NH4,noP,Fe,65,53.18292683,1
FOX 1,N&Fe,NH4,noP,Fe,66,22.79268293,0.58
FOX 1,N&Fe,NH4,noP,Fe,67,35.81707317,0.71
FOX 1,N&Fe,NH4,noP,Fe,68,73.80487805,1.82
FOX 1,N&Fe,NH4,noP,Fe,69,27.13414634,0.74
FOX 1,P&Ni&Mo,noN,PO4,NiMo,73,59.69512195,0.84
FOX 1,P&Ni&Mo,noN,PO4,NiMo,74,132.4146341,1.05
FOX 1,P&Ni&Mo,noN,PO4,NiMo,75,65.12195122,0.61
FOX 1,P&Ni&Mo,noN,PO4,NiMo,76,86.82926829,0.89
FOX 1,P&Ni&Mo,noN,PO4,NiMo,77,71.63414634,0.84
GREEN BAY 1,Control,noN,noP,noT,81,8.682926829,0.87
GREEN BAY 1,Control,noN,noP,noT,82,1.085365854,1.24
GREEN BAY 1,Control,noN,noP,noT,83,17.36585366,2.32
GREEN BAY 1,Control,noN,noP,noT,84,11.93902439,1.71
GREEN BAY 1,Control,noN,noP,noT,85,11.93902439,1.82
GREEN BAY 1,NH4,NH4,noP,noT,89,8.682926829,1.71
GREEN BAY 1,NH4,NH4,noP,noT,90,13.02439024,1.37
GREEN BAY 1,NH4,NH4,noP,noT,91,9.768292683,1.84
GREEN BAY 1,NH4,NH4,noP,noT,92,7.597560976,1.61
GREEN BAY 1,NH4,NH4,noP,noT,93,9.768292683,1.58
GREEN BAY 1,PO4,noN,PO4,noT,97,20.62195122,1.68
GREEN BAY 1,PO4,noN,PO4,noT,98,7.597560976,1.47
GREEN BAY 1,PO4,noN,PO4,noT,99,17.36585366,1.92
GREEN BAY 1,PO4,noN,PO4,noT,100,17.36585366,2.37
GREEN BAY 1,PO4,noN,PO4,noT,101,14.1097561,1.87
GREEN BAY 1,Zn,noN,noP,Zn,105,16.2804878,2.58
GREEN BAY 1,Zn,noN,noP,Zn,106,23.87804878,2.24
GREEN BAY 1,Zn,noN,noP,Zn,107,8.682926829,1.58
GREEN BAY 1,Zn,noN,noP,Zn,108,11.93902439,2
GREEN BAY 1,Zn,noN,noP,Zn,109,22.79268293,2.16
GREEN BAY 1,Fe,noN,noP,Fe,113,0,1.21
GREEN BAY 1,Fe,noN,noP,Fe,114,5.426829268,1.18
GREEN BAY 1,Fe,noN,noP,Fe,115,10.85365854,1.47
GREEN BAY 1,Fe,noN,noP,Fe,116,8.682926829,1.63
GREEN BAY 1,Fe,noN,noP,Fe,117,13.02439024,1.76
GREEN BAY 1,Ni&Mo,noN,noP,NiMo,121,32.56097561,2.29
GREEN BAY 1,Ni&Mo,noN,noP,NiMo,122,1.085365854,1.66
GREEN BAY 1,Ni&Mo,noN,noP,NiMo,123,8.682926829,1.34
GREEN BAY 1,Ni&Mo,noN,noP,NiMo,124,14.1097561,2.08
GREEN BAY 1,Ni&Mo,noN,noP,NiMo,125,-1.085365854,0.87
GREEN BAY 1,N&P,NH4,PO4,noT,129,14.1097561,1.13
GREEN BAY 1,N&P,NH4,PO4,noT,130,7.597560976,1.55
