Sample,Treatment,Total Counted,Microcystis spp.,Nitzschia spp.,Pseudoanabaena spp.,Glaucocystis?,Pennate diatom 1,Filamentous 1,Oedogonium?,Unidentified 1,Gloeocapsa?,pollen?,Aulacoseira spp?,Selenastrum? Kirchnerielle?,Unidentified 2,Unidentified 3,Cyclotella,Centric internal?,Anabaena?,Aphanocapsa?,Unidentified 4,Merismopedia?,Microcystis colony,Scenedesmus spp.,Unidentified 5,Unidentified 6,Unidentified 7,Aulacoseira?,Unidentified 8,Pennate diatom 2,Unidentified 9,Unidentified 10,Unidentified 11,Filamentous 2,Oodegonium?,Nitzschia acicularis?,Unidentified 12,Unidentified 13,Unidentified 14,Cylindrospernum spp.,Tetraedron,Stephanodiscus? Discostella?,Thalassiosira,Crucigenia spp.?,Filamentous 3,Filamentous 4,Unidentified 15,Unidentified 16,Pennate diatom 3,Centric diatom 1,Unidentified 17,Unidentified 18,Dinobyron?,Unidentified 19,Unidentified 20,Unidentified 21,Unidentified 22,Unidentified 23,Pennate Diatom 5,Selenastrum?,Unidentified 24,Unidentified 25,Pennate diatom 6,Unidentified 26,Unidentified 27,Unidentified 28,Unidentified 29,Unidentified 30,Unidentified 31,Unidentified 32,Selenastrum?,Unidentified 33,Unidentified 34,Unidentified 35,Unidentified 36,Unidentified 37
Initial,Initial,400,0.6075,0.0125,0.0475,0.0025,0.0025,0.0225,0.045,0.0125,0.015,0,0.185,0,0,0.0025,0.005,0.0075,0,0.0025,0,0,0,0.01,0,0,0.0025,0,0.0025,0,0.01,0.0025,0.0025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Control,453,0.386313466,0.026490066,0.06401766,0,0,0,0.12803532,0.002207506,0,0,0.017660044,0.01986755,0,0.013245033,0.035320088,0.022075055,0,0.004415011,0,0.013245033,0,0,0,0,0.004415011,0.015452539,0.002207506,0.011037528,0,0,0,0.105960265,0.088300221,0.004415011,0.013245033,0.008830022,0.004415011,0.006622517,0.002207506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Control,439,0.476082005,0.079726651,0.038724374,0,0,0,0.138952164,0,0,0,0,0.002277904,0,0,0.034168565,0,0,0,0,0,0,0.004555809,0.009111617,0,0.002277904,0,0,0.020501139,0,0,0,0.102505695,0,0.006833713,0,0,0,0,0,0.075170843,0.002277904,0.002277904,0.004555809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Control,403,0.421836228,0.064516129,0.024813896,0,0,0,0.129032258,0,0.00248139,0,0,0.007444169,0.00248139,0,0.054590571,0.004962779,0,0,0.00248139,0,0,0,0,0,0.00248139,0,0.00248139,0.054590571,0,0,0,0.066997519,0.027295285,0.00248139,0,0,0,0.007444169,0,0.05707196,0,0,0.009925558,0.024813896,0.00248139,0.009925558,0.007444169,0.004962779,0.004962779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Control,400,0.435,0.0475,0.0275,0,0,0,0.1,0,0,0,0,0.0025,0,0,0.03,0.005,0,0,0.0025,0,0,0.01,0,0,0.0025,0,0.005,0.06,0,0,0,0.035,0.09,0.0025,0.0025,0,0.0025,0,0,0.065,0.0075,0,0.0175,0.0125,0,0.0125,0,0.01,0.0025,0.0025,0.0075,0.0025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Nitrogen,461,0.334056399,0.045553145,0.034707158,0,0,0,0.160520607,0.013015184,0,0.00867679,0,0.00867679,0.002169197,0,0.023861171,0,0,0.010845987,0.004338395,0.036876356,0,0,0.00867679,0,0.00867679,0,0.002169197,0.039045553,0,0.00867679,0,0.069414317,0,0,0.002169197,0,0,0.006507592,0,0.05856833,0.002169197,0.002169197,0.060737527,0.013015184,0,0.010845987,0,0.002169197,0.004338395,0.004338395,0,0,0.00867679,0.002169197,0.002169197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Nitrogen,413,0.317191283,0.099273608,0.06779661,0,0,0,0.147699758,0,0,0.004842615,0,0.004842615,0,0.007263923,0.04842615,0,0,0.00968523,0.002421308,0.00968523,0,0,0.00968523,0,0.004842615,0.03874092,0,0.02905569,0,0.002421308,0,0.03874092,0,0.004842615,0.007263923,0,0.002421308,0.00968523,0,0.07748184,0.004842615,0,0.033898305,0.007263923,0,0,0,0,0,0.004842615,0,0,0,0,0,0.004842615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Nitrogen,409,0.498777506,0.075794621,0.06601467,0,0,0,0.070904645,0.004889976,0,0.002444988,0,0.004889976,0,0,0.039119804,0,0,0.002444988,0,0.004889976,0,0,0,0,0.007334963,0,0,0.029339853,0,0,0,0.080684597,0,0.009779951,0,0.002444988,0.017114914,0.002444988,0,0,0.002444988,0,0.046454768,0.012224939,0,0.004889976,0,0.009779951,0,0.002444988,0,0,0,0,0,0.002444988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Nitrogen,430,0.393023256,0.044186047,0.079069767,0,0,0,0.095348837,0,0,0.006976744,0,0.002325581,0,0,0.074418605,0,0,0,0,0.025581395,0,0.009302326,0,0,0.002325581,0.004651163,0.002325581,0.018604651,0,0,0,0.044186047,0,0.004651163,0.013953488,0,0.009302326,0,0,0.109302326,0.002325581,0.009302326,0.018604651,0.006976744,0,0.004651163,0,0.006976744,0,0.011627907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Phosphorus,408,0.384803922,0.041666667,0.073529412,0,0,0,0.085784314,0,0,0,0,0.019607843,0,0,0.046568627,0.00245098,0,0,0.004901961,0.036764706,0,0.009803922,0,0,0.00245098,0,0.007352941,0.034313725,0,0,0,0.044117647,0,0.004901961,0,0,0,0.014705882,0,0.051470588,0,0.019607843,0.039215686,0.024509804,0,0.007352941,0,0.007352941,0.004901961,0.012254902,0,0,0,0,0.014705882,0.00245098,0.00245098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Phosphorus,400,0.325,0.0725,0.015,0,0,0.02,0.115,0,0,0.005,0,0.005,0,0,0.0375,0,0,0.005,0,0.0025,0,0.005,0,0,0,0.005,0,0.035,0,0,0,0.11,0,0.0025,0.01,0,0.005,0,0,0.0725,0.01,0,0.06,0.0375,0,0,0,0.01,0.005,0.01,0,0,0.0075,0,0.005,0.0025,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Phosphorus,411,0.323600973,0.133819951,0.0243309,0,0,0,0.082725061,0,0,0,0,0.01216545,0,0,0.03163017,0.00486618,0,0,0.00243309,0.00729927,0,0.02919708,0,0.00243309,0.01946472,0,0.00486618,0.03892944,0,0,0,0.155717762,0,0.00486618,0,0,0.00243309,0.00243309,0,0.04622871,0.02676399,0,0.01946472,0.00243309,0,0.00243309,0,0.00243309,0,0.00243309,0,0,0,0,0,0,0,0,0.00243309,0.00243309,0.00243309,0.00729927,0,0,0,0,0,0,0,0,0,0,0,0
48,Phosphorus,448,0.296875,0.089285714,0.051339286,0,0,0,0.140625,0,0,0,0,0.029017857,0,0.002232143,0.013392857,0,0,0.004464286,0.002232143,0.026785714,0,0,0,0.002232143,0.008928571,0.022321429,0,0.03125,0,0.002232143,0.006696429,0.066964286,0,0.002232143,0.004464286,0,0.002232143,0.004464286,0,0.055803571,0.020089286,0,0.055803571,0.020089286,0,0,0,0.004464286,0.004464286,0.008928571,0,0,0,0,0,0.002232143,0.004464286,0,0,0,0,0.004464286,0.002232143,0.004464286,0.002232143,0,0,0,0,0,0,0,0,0
49,Trace,409,0.454767726,0.039119804,0.031784841,0,0,0,0.171149144,0,0,0,0,0.004889976,0,0,0.039119804,0,0,0.002444988,0,0.004889976,0.002444988,0.004889976,0,0,0.002444988,0,0,0.029339853,0,0.004889976,0,0.029339853,0,0.009779951,0.004889976,0,0.004889976,0.004889976,0,0.063569682,0,0,0.06601467,0.009779951,0,0,0,0,0,0.009779951,0,0,0,0,0,0.002444988,0,0,0,0,0,0.002444988,0,0,0,0,0,0,0,0,0,0,0,0
