Sample,Treatment,Counter,Total,Cyclotella?,Peridinium?,Cocconeis?,Selenastrum?,Gomphenema?,pennate 1,pennate 2,pennate 3,pennate 4,Unidentified 3.5,Aphanizomenon,Unidentified 4.5,Synedra?,Unidentified 4,Dinobryon?,Unidentified 5,Unidentified 6,Unidentified 6.5,Unidentified 7,Synedra?,Unidentified 8,Unidentified 9,Unidentified 10,Unidentified 14,Unidentified 15,Tabellaria?,Gomphonema?,centric 1,Unidentified 16,pennate 4.5,Unidentified 17,Unidentified 18,Unidentified 19,Unidentified 20,Unidentified 21,Unidentified 22,Aulacoseria?,centric 2,pennate 5,Unidentified 23,Unidentified 24,Unidentified 25,Unidentified 28,Stephanodiscus?,Unidentified 29,Unidentified 30,Unidentified 31,Unidentified 32,Unidentified 33,pennate 6,Unidentified 35,pennate 7,Unidentified 36,Unidentified 36.5,Unidentified 37,Unidentified 39,Unidentified 40,Unidentified 41,Unidentified 42,pennate 8,Unidentified 44,Unidentified 45,Unidentified 46,Unidentified 47,pennate 9,Unidentified 48,Unidentified 50,Unidentified 51,Unidentified 52,Unidentified 53,Unidentified 54,Unidentified 55,Unidentified 56,Unidentified 57,Unidentified 58,Unidentified 59,Unidentified 60,Unidentified 61,Unidentified 62,Unidentified 63,Unidentified 64,Unidentified 65,Unidentified 66,Unidentified 67,Unidentified 68,centric 3,Unidentified 69,centric 4,Unidentified 70,Unidentified 71,Unidentified 72,Unidentified 73,Unidentified 74,Unidentified 75,Unidentified 76,Unidentified 77,Unidentified 78,Unidentified 79,Dolichospermum?,Unidentified 80,Unidentified 81,Unidentified 82,Unidentified 83,pennate 11,Unidentified 84,Unidentified 86,pennate 12,Unidentified 88,Unidentified 89,Unidentified 90,Unidentified 91,Unidentified 92,Unidentified 93,Unidentified 94,Unidentified 95,Unidentified 96,Unidentified 97,Unidentified 98,Unidentified 99,Unidentified 100,Unidentified 101,Unidentified 102,pennate 13,Unidentified 103,Nitzschia spp.,unidentified 1,filament 1,Unidentified 1.5,Unidentified 2,Fragillaria spp.,Microcystis spp.,Merismopedia spp.,Pediastrum spp.,Scenedesmus spp.,Unidentified 12,Unidentified 13,Chlamydomonas spp.,Unidentified 27,Pseudoanabaena spp.,Unidentified 26,Unidentified 87,Unidentified 43,Unidentified 38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Initial,Initial,Jordyn,500,22,2,6,5,2,1,0,0,0,2,3,4,3,11,1,7,2,1,2,3,3,1,5,0,1,2,1,3,8,1,1,1,2,2,0,4,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,69,28,11,57,27,104,2,31,20,1,22,1,0,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Control,Jordyn,520,34,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,64,4,4,84,0,156,0,87,0,0,34,0,27,1,7,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Control,Jordyn,422,22,1,1,3,0,0,0,0,0,5,0,0,2,0,0,11,2,0,15,0,0,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,2,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,35,23,3,75,2,133,0,0,0,0,12,0,33,5,2,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Control,Jordyn,458,17,1,1,1,1,1,0,0,0,2,0,0,1,0,0,0,0,0,8,1,1,0,4,0,0,1,0,4,0,0,0,0,0,0,0,4,2,0,2,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,16,0,9,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,39,23,4,42,2,186,3,0,8,0,9,0,34,5,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Control,Jordyn,423,18,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,1,24,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,4,8,1,0,1,1,3,1,1,1,1,1,2,1,1,4,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,60,4,6,10,10,161,0,0,8,0,0,3,16,20,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Nitrogen,Brian,400,10,0,0,2,0,0,0,0,0,2,0,0,1,0,0,7,0,0,0,0,4,0,5,0,0,0,0,4,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,3,1,0,1,0,1,0,0,0,1,0,1,0,0,7,0,0,2,0,0,0,0,0,0,1,0,1,7,1,0,0,2,3,3,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,4,8,4,15,208,5,32,0,0,8,0,4,5,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Nitrogen,Talia,467,10,1,0,6,0,0,0,0,0,1,0,0,0,0,0,2,1,0,1,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,60,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,21,3,5,37,0,250,4,0,4,0,0,0,6,19,2,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Nitrogen,Jordyn,470,14,0,0,7,0,0,0,1,0,3,0,4,1,0,0,2,0,0,2,1,0,0,2,6,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,20,4,5,88,0,241,0,0,4,0,4,1,29,3,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Nitrogen,Jordyn,479,15,2,0,3,1,1,1,1,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,5,2,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,36,6,23,84,25,196,1,0,2,0,21,0,11,4,4,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Phosphorus,Talia,418,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,3,0,0,0,0,0,0,1,8,0,0,0,0,4,0,4,0,0,3,0,0,3,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,18,51,29,22,0,130,0,0,8,1,0,0,81,8,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
