Sample,Treatment,Total Counted,Microcystis spp. ,Nitzschia spp. ,Pseudoanabaena spp.,Glaucocystis? ,Pennate diatom 1,Filamentous 1,Oedogonium?,Unidentified 1,Gloeocapsa? ,pollen?,Aulacoseira spp?,Selenastrum? Kirchnerielle?,Unidentified 2,Unidentified 3,Cyclotella,Centric internal?,Anabaena? ,Aphanocapsa? ,Unidentified 4,Merismopedia? ,Microcystis colony,Scenedesmus spp.,Unidentified 5,Unidentified 6,Unidentified 7,Aulacoseira?,Unidentified 8,Pennate diatom 2,Unidentified 9,Unidentified 10,Unidentified 11,Filamentous 2,Nitzschia acicularis?,Unidentified 12,Unidentified 13,Unidentified 14,Cylindrospernum spp. ,Tetraedron,Stephanodiscus? Discostella?,Thalassiosira,Crucigenia spp.?,Filamentous 3,Filamentous 4,Unidentified 15,Unidentified 16,Pennate diatom 3,Centric diatom 1,Unidentified 17,Unidentified 18,Dinobyron? ,Unidentified 19,Unidentified 20,Unidentified 21,Unidentified 22,Unidentified 23,Pennate Diatom 5,Selenastrum?,Unidentified 24
Initial,Initial,400,243,5,19,1,1,9,18,5,6,0,74,0,0,1,2,3,0,1,0,0,0,4,0,0,1,0,1,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Control,453,175,12,29,0,0,0,98,1,0,0,8,9,0,6,16,10,0,2,0,6,0,0,0,0,2,7,1,5,0,0,0,48,2,6,4,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Control,439,209,35,17,0,0,0,61,0,0,0,0,1,0,0,15,0,0,0,0,0,0,2,4,0,1,0,0,9,0,0,0,45,3,0,0,0,0,0,33,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Control,403,170,26,10,0,0,0,63,0,1,0,0,3,1,0,22,2,0,0,1,0,0,0,0,0,1,0,1,22,0,0,0,27,1,0,0,0,3,0,23,0,0,4,10,1,4,3,2,2,0,0,0,0,0,0,0,0,0,0
40,Control,400,174,19,11,0,0,0,76,0,0,0,0,1,0,0,12,2,0,0,1,0,0,4,0,0,1,0,2,24,0,0,0,14,1,1,0,1,0,0,26,3,0,7,5,0,5,0,4,1,1,3,1,0,0,0,0,0,0,0
41,Nitrogen,461,154,21,16,0,0,0,74,6,0,4,0,4,1,0,11,0,0,5,2,17,0,0,4,0,4,0,1,18,0,4,0,32,0,1,0,0,3,0,27,1,1,28,6,0,5,0,1,2,2,0,0,4,1,1,0,0,0,0
42,Nitrogen,413,131,41,28,0,0,0,61,0,0,2,0,2,0,3,20,0,0,4,1,4,0,0,4,0,2,16,0,12,0,1,0,16,2,3,0,1,4,0,32,2,0,14,3,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0
43,Nitrogen,409,204,31,27,0,0,0,29,2,0,1,0,2,0,0,16,0,0,1,0,2,0,0,0,0,3,0,0,12,0,0,0,33,4,0,1,7,1,0,0,1,0,19,5,0,2,0,4,0,1,0,0,0,0,0,1,0,0,0
44,Nitrogen,430,169,19,34,0,0,0,41,0,0,3,0,1,0,0,32,0,0,0,0,11,0,4,0,0,1,2,1,8,0,0,0,19,2,6,0,4,0,0,47,1,4,8,3,0,2,0,3,0,5,0,0,0,0,0,0,0,0,0
45,Phosphorus,408,157,17,30,0,0,0,35,0,0,0,0,8,0,0,19,1,0,0,2,15,0,4,0,0,1,0,3,14,0,0,0,18,2,0,0,0,6,0,21,0,8,16,10,0,3,0,3,2,5,0,0,0,0,6,1,1,0,0
